For SX3's: det id | mid rho | mid z | mid phi | name
For QQQ's: det id | mid phi | z | name
0 2.30659 0 QQQ_0
1 7.01897 0.8028 QQQ_1
2 5.44818 0 QQQ_2
3 3.87738 0 QQQ_3
6 8.90601 6.25 5.49739 R1a_A
7 8.89871 6.25 6.02117 R1a_B
8 8.90354 6.25 0.261868 R1a_C
9 8.90247 6.25 0.785398 R1a_D
10 8.90354 6.25 1.30893 R1a_E
11 8.90354 6.25 1.83266 R1a_F
12 8.90247 6.25 2.35619 R1b_A
13 8.90354 6.25 2.87972 R1b_B
14 8.90354 6.25 3.40346 R1b_C
15 8.90247 6.25 3.92699 R1b_D
16 8.90354 6.25 4.45052 R1b_E
17 8.90354 6.25 4.97426 R1b_F
18 8.90601 18.65 5.49739 R2a_A
19 8.89871 18.65 6.02117 R2a_B
20 8.90354 18.65 0.261868 R2a_C
21 8.90247 18.65 0.785398 R2a_D
22 8.90354 18.65 1.30893 R2a_E
23 8.90354 18.65 1.83266 R2a_F
24 8.90247 18.65 2.35619 R2b_A
25 8.90354 18.65 2.87972 R2b_B
26 8.90354 18.65 3.40346 R2b_C
27 8.90247 18.65 3.92699 R2b_D
28 8.90354 18.65 4.45052 R2b_E
29 8.90354 18.65 4.97426 R2b_F
